,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Hambantota,LK,6.1241,81.1185,81.23,80,32,7.83,scattered clouds
80,Grindavik,IS,63.8424,-22.4338,49.95,100,100,16.11,light rain
81,Dikson,RU,73.5069,80.5464,12.96,94,100,15.41,overcast clouds
82,Siilinjarvi,FI,63.0833,27.6667,44.62,31,0,2.3,clear sky
83,Guerrero Negro,MX,27.9769,-114.0611,65.52,67,91,16.98,overcast clouds
84,Huaidian,CN,33.4333,115.0333,45.52,49,78,5.1,broken clouds
85,Ribeira Grande,PT,38.5167,-28.7,64.8,59,40,10.36,scattered clouds
86,Caibarien,CU,22.5206,-79.4669,81.72,62,3,13.35,clear sky
87,Quatre Cocos,MU,-20.2078,57.7625,78.91,80,47,16.93,scattered clouds
88,Butaritari,KI,3.0707,172.7902,80.02,80,57,12.5,light rain
89,Nautla,MX,20.2167,-96.7833,86.72,64,32,8.12,scattered clouds
90,Takoradi,GH,4.8845,-1.7554,78.78,85,100,4.14,moderate rain
91,Obo,CF,5.3998,26.4869,74.43,78,44,1.16,light rain
92,Elizabeth City,US,36.2946,-76.2511,70.02,77,0,5.75,clear sky
93,Avarua,CK,-21.2078,-159.775,73.45,100,52,1.14,broken clouds
94,Las Vegas,US,36.175,-115.1372,77.23,22,0,29.93,clear sky
95,Kaeo,NZ,-35.1,173.7833,59.32,96,100,11.01,overcast clouds
96,Bethel,US,41.3712,-73.414,66.88,46,0,8.05,clear sky
97,Umm Lajj,SA,25.0213,37.2685,77.92,64,0,7.47,clear sky
98,Mahebourg,MU,-20.4081,57.7,79.09,73,40,12.66,scattered clouds
99,Smolenka,RU,52.1352,113.4974,33.87,47,88,4.47,overcast clouds
100,Husavik,IS,66.0449,-17.3389,47.59,77,98,12.15,overcast clouds
101,Wanning,CN,18.8003,110.3967,77.18,82,57,7.49,broken clouds
102,Satipo,PE,-11.2522,-74.6386,85.71,54,97,2.44,overcast clouds
103,Ilulissat,GL,69.2167,-51.1,17.62,62,75,8.05,light snow
104,Lata,PT,40.1629,-8.3327,58.82,48,18,8.7,few clouds
105,Mehndawal,IN,26.9753,83.1117,87.49,11,0,7.43,clear sky
106,Muravlenko,RU,63.7898,74.523,20.75,94,100,17.34,light snow
107,Hasaki,JP,35.7333,140.8333,41.4,65,63,8.57,broken clouds
108,Luderitz,NA,-26.6481,15.1594,66.27,61,0,12.5,clear sky
109,Biak,ID,-0.9131,122.8766,76.71,86,97,2.21,overcast clouds
110,Pouebo,NC,-20.4,164.5667,71.78,82,6,4.25,clear sky
111,La Rioja,ES,42.25,-2.5,64.18,49,0,12.59,clear sky
112,Tuyen Quang,VN,21.8233,105.2181,65.21,91,100,2.48,overcast clouds
113,Zhangjiakou,CN,40.81,114.8794,51.04,17,60,4.32,broken clouds
114,Tateyama,JP,34.9833,139.8667,53.1,69,79,13.22,broken clouds
115,Larap,PH,14.299,122.6504,76.66,89,72,7.31,broken clouds
116,Pathein,MM,16.7833,94.7333,80.11,82,14,6.67,few clouds
117,Beringovskiy,RU,63.05,179.3167,28.54,96,100,19.71,light snow
118,Hami,CN,42.8,93.45,53.17,20,0,7.63,clear sky
119,Wonthaggi,AU,-38.6044,145.5913,61.95,71,100,8.12,overcast clouds
120,Bayan,CN,46.0833,127.4,38.88,27,19,2.66,few clouds
121,Lufilufi,WS,-13.8745,-171.5986,73.18,74,23,14.65,few clouds
122,Thompson,CA,55.7435,-97.8558,15.96,57,75,9.22,broken clouds
123,Lamu,KE,-2.2717,40.902,82.62,78,100,11.97,overcast clouds
124,Port Hawkesbury,CA,45.6169,-61.3485,65.89,41,20,21.85,few clouds
125,San Isidro,PE,-12.1167,-77.05,70.5,63,40,6.91,scattered clouds
126,Nyagan,RU,62.1406,65.3936,23.11,96,90,4.41,overcast clouds
127,Krutikha,RU,53.9599,81.2093,53.74,48,56,8.23,broken clouds
